INDIVIDUALS	STRATA
ADVO-15_001	SOU
ADVO-15_002	SOU
ADVO-15_003	SOU
ADVO-15_004	SOU
ADVO-15_005	SOU
ADVO-15_006	SOU
ADVO-15_008	SOU
ADVO-15_009	SOU
ADVO-15_010	SOU
ADVO-15_011	SOU
ADVO-15_012	SOU
ADVO-15_013	SOU
ADVO-15_014	SOU
ADVO-15_015	SOU
ADVO-15_016	SOU
ADVO-15_018	SOU
ADVO-15_019	SOU
ADVO-15_021	SOU
ADVO-15_022	SOU
ADVO-15_023	SOU
ADVO-15_024	SOU
ADVO-15_025	SOU
ADVO-15_026	SOU
ADVO-15_027	SOU
ADVO-15_028	SOU
ADVO-15_029	SOU
ADVO-15_030	SOU
ADVO-15_031	SOU
ADVO-15_032	SOU
ADVO-15_033	SOU
ADVO-15_034	SOU
ADVO-15_035	SOU
ADVO-15_036	SOU
ADVO-15_037	SOU
ADVO-15_038	SOU
ADVO-15_039	SOU
ADVO-15_040	SOU
ADVO-15_041	SOU
ADVO-15_042	SOU
ADVO-15_043	SOU
ADVO-15_044	SOU
ADVO-15_045	SOU
ADVO-15_046	SOU
ADVO-15_047	SOU
ADVO-15_048	SOU
ALMA-12_001	SOU
ALMA-12_002	SOU
ALMA-12_003	SOU
ALMA-12_004	SOU
ALMA-12_005	SOU
ALMA-12_006	SOU
ALMA-12_008	SOU
ALMA-12_009	SOU
ALMA-12_010	SOU
ALMA-12_011	SOU
ALMA-12_012	SOU
ALMA-12_013	SOU
ALMA-12_014	SOU
ALMA-12_015	SOU
ALMA-12_016	SOU
ALMA-12_017	SOU
ALMA-12_018	SOU
ALMA-12_019	SOU
ALMA-12_020	SOU
ALMA-12_022	SOU
ALMA-12_023	SOU
ALMA-12_025	SOU
ALMA-12_026	SOU
ALMA-12_027	SOU
ALMA-12_028	SOU
ALMA-12_029	SOU
ALMA-12_030	SOU
ALMA-12_031	SOU
ALMA-12_032	SOU
ALMA-12_033	SOU
ALMA-12_035	SOU
ALMA-12_036	SOU
ALMA-12_037	SOU
ALMA-12_038	SOU
ALMA-12_039	SOU
ALMA-12_040	SOU
ALMA-12_041	SOU
ALMA-12_042	SOU
ALMA-12_045	SOU
ALMA-12_046	SOU
ALMA-12_047	SOU
ALMA-12_048	SOU
ALMA-15_001	SOU
ALMA-15_002	SOU
ALMA-15_003	SOU
ALMA-15_004	SOU
ALMA-15_005	SOU
ALMA-15_006	SOU
ALMA-15_007	SOU
ALMA-15_008	SOU
ALMA-15_009	SOU
ALMA-15_010	SOU
ALMA-15_011	SOU
ALMA-15_012	SOU
ALMA-15_025	SOU
ALMA-15_026	SOU
ALMA-15_027	SOU
ALMA-15_028	SOU
ALMA-15_029	SOU
ALMA-15_030	SOU
ALMA-15_031	SOU
ALMA-15_032	SOU
ALMA-15_033	SOU
ALMA-15_034	SOU
ALMA-15_035	SOU
ALMA-15_036	SOU
ALMA-15_037	SOU
ALMA-15_038	SOU
ALMA-15_039	SOU
ALMA-15_040	SOU
ALMA-15_041	SOU
ALMA-15_042	SOU
ALMA-15_043	SOU
ALMA-15_044	SOU
ALMA-15_045	SOU
ALMA-15_047	SOU
ALMA-15_048	SOU
ALMA-15_049	SOU
ALMA-15_050	SOU
ALMA-15_051	SOU
