INDIVIDUALS	STRATA
FALS-15_034	NOR
FORT-15_052	NOR
T5P4-16_032	NOR
T3P1-16_053	NOR
MALP-15_001	NOR
T4P2-16_030	NOR
STGB-12_007	NOR
PLAC-16_012	NOR
TIGN-15_023	NOR
T1P2-16_023	NOR
T1P2-16_022	NOR
STJI-12_005	NOR
T2P3-16_047	NOR
DRUM-15_012	NOR
T2X-16_006	NOR
ANTI-12_044	NOR
STGM-15_031	NOR
SHED-15_041	NOR
TIGN-15_018	NOR
SIDN-12_013	NOR
POBA-16_020	NOR
T4P2-16_015	NOR
T3P2-16_001	NOR
SOUR-15_002	NOR
T4P4-16_010	NOR
T1P2-16_033	NOR
T2P2-16_043	NOR
VALC-12_014	NOR
DRUM-15_030	NOR
T1P2-16_018	NOR
STGB-12_013	NOR
T1P3-16_007	NOR
FORT-15_029	NOR
BIGB-12_027	NOR
PORT-12_032	NOR
POIN-15_027	NOR
CAPM-12_017	NOR
STGM-15_033	NOR
T2P2-16_031	NOR
CANS-12_019	NOR
ANTI-15_013	NOR
FORT-16_030	NOR
T4P2-16_035	NOR
T4P1-16_019	NOR
T4P1-16_010	NOR
BURG-15_006	NOR
CARA-12_030	NOR
CARA-15_042	NOR
T1P1-16_023	NOR
ANTI-12_005	NOR
T3P4-16_008	NOR
NEGU-15_005	NOR
MALP-15_040	NOR
T4P1-16_053	NOR
T5P4-16_053	NOR
T4P4-16_011	NOR
CARA-12_003	NOR
SIDN-12_042	NOR
SHED-15_031	NOR
DRUM-15_041	NOR
T5P1-16_055	NOR
T2P1-16_036	NOR
TIGN-15_017	NOR
ETDN-15_022	NOR
BONA-15_041	NOR
T1P1-16_045	NOR
T2P3-16_040	NOR
ARIS-15_031	NOR
BIGB-12_032	NOR
T4P4-16_026	NOR
ANTI-15_020	NOR
T1P2-16_057	NOR
T3P2-16_051	NOR
T3P2-16_048	NOR
TRIT-12_001	NOR
SIDN-12_006	NOR
CAPM-12_006	NOR
ANTI-15_037	NOR
FALS-15_014	NOR
T3P1-16_050	NOR
T2X-16_050	NOR
BURG-15_052	NOR
CHET-12_008	NOR
T5P2-16_014	NOR
T1P4-16_041	NOR
ECUM-17_007	NOR
T2P3-16_053	NOR
T3P1-16_022	NOR
TIGN-15_013	NOR
STJI-12_007	NOR
CARA-12_042	NOR
FORT-15_031	NOR
DRUM-15_040	NOR
T5P3-16_046	NOR
CARA-15_039	NOR
BIGB-12_048	NOR
ROCK-16_001	NOR
SOUR-15_022	NOR
ROCK-16_031	NOR
FALS-15_025	NOR
STGM-15_009	NOR
STJI-12_039	NOR
T2P2-16_013	NOR
T2X-16_029	NOR
FOUR-15_005	NOR
DRUM-15_047	NOR
BONA-15_036	NOR
T2P3-16_057	NOR
